sentence1,p_meta_mean,p_meta_std,p_meta_min,confidence_margin_mean,jaccard_mean,novel_word_ratio_mean
Professor Lord Krebs recently argued in an opinion piece in The Conversation that “accurate reporting of science matters” and that it is part of scientists’ professional duty to “challenge poor media reporting on climate change”. ,0.9999,1e-04,0.9996,0.4454,0.4613,0.3541
"Andrew Ng hands me a tiny device that wraps around my ear and connects to a smartphone via a small cable. It looks like a throwback---a smartphone earpiece without a Bluetooth connection. But it's really a glimpse of the future. In a way, this tiny device allows the blind to see.",1.0,0.0,0.9999,0.4455,0.3626,0.4084
"I swear I wasn’t going to do a “Top Whatevers of 2015” blog post this year, but then the Benevolent Overlords at Slate asked me to do one, and what choice do I have? They’re benevolent, but they are overlords. Plus I like them.",0.9999,0.0,0.9999,0.4455,0.3735,0.4234
"As a mission-driven Open Access publisher, innovator and advocacy organization, PLOS is committed to bringing scientific research and discovery into the public sphere. From the exciting breakthrough that transforms a field to the confirmatory or negative result, work published in PLOS journals truly reflects the breadth and depth of the scientific endeavor",1.0,0.0,0.9999,0.4455,0.3727,0.389
Keeping up with the relentless pace of change in the ICT industry is a daily challenge for modern tech companies. The key to long-term success lies in the ability to understand change almost before it occurs and seize the opportunity to shape evolving technologies.,0.9999,0.0,0.9999,0.4455,0.312,0.4663
The possibility of approximating a continuous function on a compact subset of the real line by a feedforward single hidden layer neural network with a sigmoidal activation function has been studied in many papers. ,1.0,0.0,0.9999,0.4455,0.5658,0.2418
"We study a novel machine learning (ML) problem setting of sequentially allocating small subsets of training data amongst a large set of classifiers. The goal is to select a classifier that will give near-optimal accuracy when trained on all data, while also minimizing the cost of misallocated samples.",1.0,0.0,0.9999,0.4455,0.4152,0.3724
"As a mission-driven Open Access publisher, innovator and advocacy organization, PLOS is committed to bringing scientific research and 
discovery into the public sphere. From the exciting breakthrough that transforms a field to the confirmatory or negative result, work published 
in PLOS journals truly reflects the breadth and depth of the scientific endeavor",1.0,,1.0,0.4455,0.377,0.38
Our evolutionary history suggests that there was a period when Homo‘s brain was undergoing a long period of gradual enhancement. It wasn’t Homo sapiens though; it was Homo erectus. ,1.0,0.0,1.0,0.4455,0.3035,0.4907
"In fact, science and technology are clearly distinguishable in both intension and extension. Science in general is the knowledge system with nature as its studying object (plus society and even individuals), which is acquired through experimenting, reasoning, perfecting, etc. ",1.0,0.0,1.0,0.4455,0.347,0.4368
"State-of-the-art object detection networks depend on region proposal algorithms to hypothesize object locations. Advances like SPPnet and Fast R-CNN have reduced the running time of these detection networks, exposing region proposal computation as a bottleneck. ",1.0,0.0,1.0,0.4455,0.4664,0.3333
