sentence1,sentence2,model_name,source,label,p_meta,p_lex,p_syn,p_sem,confidence_margin,detected,jaccard,bigram_overlap,norm_edit_dist,length_change,novel_word_ratio,p_DeBERTa_Single,p_RoBERTa_Single,p_Fusion_NoDis
The possibility of approximating a continuous function on a compact subset of the real line by a feedforward single hidden layer neural network with a sigmoidal activation function has been studied in many papers. ,Numerous research papers have investigated the potential of a feedforward neural network with a single hidden layer and sigmoidal activation function to approximate a continuous function defined on a compact subset of the real line.,Claude Haiku 3.5,https://www.arxiv.org/pdf/1601.00013,1,0.9999893,0.9999938,0.9999951,0.99997985,0.44554484,1,0.46153846153846156,0.3137254901960784,0.9428571428571428,0.029411764705882353,0.3142857142857143,0.9999318,0.83004373,0.999608
"We study a novel machine learning (ML) problem setting of sequentially allocating small subsets of training data amongst a large set of classifiers. The goal is to select a classifier that will give near-optimal accuracy when trained on all data, while also minimizing the cost of misallocated samples.","We investigate an innovative machine learning research paradigm centered on the sequential distribution of compact training data subsets across an extensive array of classification models, with the dual objective of identifying a classifier that approaches optimal accuracy when trained on the complete dataset while simultaneously minimizing the computational expense associated with improperly assigned samples.",Claude Haiku 3.5,https://www.arxiv.org/pdf/1601.00024,1,0.99996877,0.9999852,0.99997985,0.99997675,0.44552433,1,0.2571428571428571,0.08791208791208792,0.6851851851851852,0.125,0.5555555555555556,0.99995995,0.979354,0.9996594
"State-of-the-art object detection networks depend on region proposal algorithms to hypothesize object locations. Advances like SPPnet and Fast R-CNN have reduced the running time of these detection networks, exposing region proposal computation as a bottleneck. ","Contemporary object detection neural networks rely on region proposal mechanisms to generate potential object locations. Innovative approaches such as SPPnet and Fast R-CNN have substantially decreased detection network execution time, thereby revealing the region proposal computation as a critical performance constraint.",Claude Haiku 3.5,https://arxiv.org/abs/1506.01497,1,0.99997413,0.99998856,0.99998987,0.9999707,0.4455297,1,0.34,0.18032786885245902,0.5365853658536586,0.17142857142857143,0.4634146341463415,0.9999658,0.71977776,0.9996486
"As a mission-driven Open Access publisher, innovator and advocacy organization, PLOS is committed to bringing scientific research and 
discovery into the public sphere. From the exciting breakthrough that transforms a field to the confirmatory or negative result, work published 
in PLOS journals truly reflects the breadth and depth of the scientific endeavor","As a purpose-driven Open Access publisher, innovator, and advocacy entity, PLOS is dedicated to disseminating scientific research and discovery to the broader public domain. From groundbreaking innovations that revolutionize a discipline to confirmatory or negative findings, publications in PLOS journals comprehensively represent the full spectrum and complexity of scientific investigation.",Claude Haiku 3.5,https://www.plos.org/files/PLOS-Annual-Update-2016-online.pdf,1,0.9999635,0.99997926,0.99997723,0.99995935,0.4455191,1,0.3770491803278688,0.14942528735632185,0.46153846153846156,-0.038461538461538464,0.38,0.9999697,0.8433798,0.99971753
Our evolutionary history suggests that there was a period when Homo‘s brain was undergoing a long period of gradual enhancement. It wasn’t Homo sapiens though; it was Homo erectus. ,"Evolutionary evidence indicates a prolonged phase of incremental cognitive development within the Homo lineage, specifically characterized by the neurological progression of Homo erectus rather than Homo sapiens.",Claude Haiku 3.5,https://freethoughtblogs.com/pharyngula/2016/04/05/superbrains-will-not-come-out-of-a-test-tube/,1,0.99998736,0.99999464,0.9999949,0.99998903,0.44554293,1,0.09523809523809523,0.0,0.896551724137931,-0.06896551724137931,0.7407407407407407,0.9999573,0.76699245,0.99913067
"I swear I wasn’t going to do a “Top Whatevers of 2015” blog post this year, but then the Benevolent Overlords at Slate asked me to do one, and what choice do I have? They’re benevolent, but they are overlords. Plus I like them.","I had resolved to avoid creating an annual ""Top Whatevers"" compilation this year, but when the Benevolent Overlords at Slate requested such an article, I found myself compelled to acquiesce. After all, they are indeed benevolent, yet still overlords—and moreover, I genuinely appreciate them.",Claude Haiku 3.5,https://slate.com/technology/2015/12/the-top-space-and-astronomy-stories-of-2015.html,1,0.999956,0.99996877,0.9999646,0.99996054,0.44551158,1,0.2222222222222222,0.08974358974358974,0.7954545454545454,0.0,0.6136363636363636,0.9999658,0.9891816,0.99967504
Professor Lord Krebs recently argued in an opinion piece in The Conversation that “accurate reporting of science matters” and that it is part of scientists’ professional duty to “challenge poor media reporting on climate change”. ,"In a commentary published in The Conversation, Professor Lord Krebs asserted that precise scientific communication is crucial and that scientists bear a professional responsibility to critique inaccurate media representations of climate change.",Claude Haiku 3.5,https://www.realclimate.org/index.php/archives/2016/05/,1,0.9999646,0.99998045,0.9999833,0.99995315,0.44552016,1,0.2765957446808511,0.06557377049180328,0.7714285714285715,-0.08571428571428572,0.53125,0.99996674,0.9124362,0.9995272
Keeping up with the relentless pace of change in the ICT industry is a daily challenge for modern tech companies. The key to long-term success lies in the ability to understand change almost before it occurs and seize the opportunity to shape evolving technologies.,Navigating the rapid and continuous transformation within the Information and Communication Technology (ICT) sector poses a persistent challenge for contemporary technology enterprises. Sustained competitive advantage hinges on the capacity to anticipate technological shifts proactively and strategically influence emerging technological trajectories.,Claude Haiku 3.5,https://www.ericsson.com/en/reports-and-papers/ericsson-technology-review/articles/technology-trends-2016,1,0.99996877,0.99999046,0.99998426,0.9999738,0.44552433,1,0.09375,0.0125,0.9090909090909091,-0.09090909090909091,0.75,0.9999417,0.6880493,0.99895155
"In fact, science and technology are clearly distinguishable in both intension and extension. Science in general is the knowledge system with nature as its studying object (plus society and even individuals), which is acquired through experimenting, reasoning, perfecting, etc. ","In reality, science and technology exhibit clear distinctions in both their conceptual definition and practical scope. Science fundamentally represents a knowledge framework centered on investigating natural phenomena, societal structures, and individual dynamics, systematically developed through experimental methods, rational reasoning, and continuous refinement.",Claude Haiku 3.5,https://pmc.ncbi.nlm.nih.gov/articles/PMC5172429/,1,0.999987,0.99999475,0.9999944,0.9999902,0.44554257,1,0.12903225806451613,0.039473684210526314,0.7857142857142857,0.07692307692307693,0.6904761904761905,0.9999546,0.9791955,0.99974686
"Andrew Ng hands me a tiny device that wraps around my ear and connects to a smartphone via a small cable. It looks like a throwback---a smartphone earpiece without a Bluetooth connection. But it's really a glimpse of the future. In a way, this tiny device allows the blind to see.","Andrew Ng presents me with a compact device that encircles the ear and links to a smartphone through a slender cable. Its appearance evokes an outdated technology—reminiscent of an early smartphone earpiece lacking wireless connectivity. However, in essence, this diminutive instrument represents a profound technological breakthrough, fundamentally offering visual perception capabilities to individuals with visual impairments.",Claude Haiku 3.5,https://www.wired.com/2016/01/2015-was-the-year-ai-finally-entered-the-everyday-world/,1,0.99996114,0.9999838,0.99997926,0.99996924,0.4455167,1,0.2222222222222222,0.061224489795918366,0.75,0.09803921568627451,0.625,0.99995315,0.99821776,0.9998416
