sentence1,sentence2,label,p,pred
"lexical = 40, order = 40 You are glad, little mother, that God has sent you an opportunity of doing one good deed in exchange for another, and of showing your gratitude. I have faith in that, Varenka, I have faith in the goodness of your angel’s heart, and I say this not as a rebuke – but please do not reproach me, as you have done, for squandering my money in my old age. Yes, if you really must insist that I have sinned, then what is there to be done about it? I have sinned; only it costs me much to hear such things from you, my little friend. You must not be angry with me for saying this; in my breast there is nothing but pain and hurt, little mother. Poor folk are capricious – that is the way nature makes them. This is not the first time I have felt it. The poor man is a severe critic; he looks at God’s world from a different angle, he furtively sizes up each person he meets, looks about him with a troubled gaze, and listens carefully to every word he overhears – are people talking about him? Are they saying he is not much to look at, wondering about what he is feeling, what he is like from this point of view and that point of view? And Varenka, everyone knows that a poor man is worth less than an old rag, and cannot hope for respect from anyone, whatever they may write, those scribblers, whatever they may write! The poor man will remain the same as he has always been. And why will he remain the same? Because, according to their lights, the poor man must be turned inside out; he must have no privacy, no dignity of any kind! Yemelya told me the other day that some people somewhere organized a whip-round for him, and that a sort of official check was made of every copeck that was paid to him. They thought they were giving him their money out of charity – but they weren’t: they were paying for having a poor man exhibited to them. Even charity is conducted in a peculiar way nowadays, little mother… but perhaps it has always been like that – who knows! Either they don’t know how to do it, or they’re past masters at it – one or the other. Perhaps you didn’t know that; well, there you are! In any other field of knowledge you can count us out, but here we’re experts! And how does it come to be that a poor man knows all this and thinks all these things? Why, because he has experience! Because, for example, he knows that there is at his side a gentleman who is going to a restaurant, saying to himself: ‘What is that ragged clerk going to eat today? <sent> I’m going to have sauté papillotte, while he is probably going to have kasha with no butter. </sent> But what business is it of his, what I’m going to eat? There is a type of man, Varenka, who thinks only about things like that. And they go about, the shameless lampoonists, looking to see whether you put the whole of your foot down on the pavement or just the tips of your toes; look, they say, such-and-such a clerk from such-and-such a department, a titular councillor, is going around with his bare toes sticking out of his boots, and the elbows of his jacket worn through – and then they go home and write about it all and then have this rubbish printed… But what business is it of his that my elbows are worn through? Indeed, if you will forgive me a coarse expression, Varenka, I will even go so far as to say that on this account the poor man has a modesty that is equivalent to your own maidenly reticence. I mean, you wouldn’t – please forgive my vulgarity – unveil yourself in front of everyone, would you? In precisely the same way the poor man doesn’t like people to look into his hideaway to see what his private life is like. And so there was no need to insult me, Varenka, taking sides with my enemies who assail the honour and personal dignity of an honest man.","I’m going to eat saute papillotte while he is going to eat porridge without butter, maybe.”",1,0.5548323,1
"lexical = 40, order = 40 ""Ah, a signal! Water is coming, he thought, by morning it will rush, where the place is lower, into the streets, it will flood the cellars and cellars, cellar rats will emerge, and in the rain and wind people will begin, swearing, wet, dragging their rubbish to the upper floors ... And What time is it now? "" And just as he thought this, somewhere nearby, ticking and as if hurrying with all his might, the wall clock struck three. <sent> I’ll get out right away, straight to Petrovsky Park; What am I waiting for? ‘Hey, in another hour dawn will be breaking! </sent> somewhere I’ll choose a large bush, all covered in rain, so that it hurts a little with my shoulder, and millions of splashes will cover my whole head ... ” He moved away from the window, locked it, lit a candle, pulled it over himself waistcoat, coat, put on a hat and went out with a candle into the corridor to find somewhere sleeping in a closet between all sorts of rubbish and candle stubs, pay him for the number and leave the hotel. “The best minute, you can’t choose better!”","So, again, let him not be ashamed that von is a sinful vessel of the waters of his nature, but the grace of God is infinite. So Vona chose and cried, saying, 'So when I lay down undressed in bed, I started picking up dirt between my toes and sniffing for it.'",0,0.554003,0
"lexical = 40, order = 60 <sent> Under the lash of a beautiful woman my senses first realized the meaning of woman. In her fur-jacket she seemed to me like a wrathful queen, and from then on my aunt became the most desirable woman on God's earth. ""Now you understand the supersensual fool! </sent>","I don't know what to say to him? said Mr. Green, finally pulling a letter out of his pocket and laying it on the table in front of him. It is quite commendable that he should wish to return to his uncle, and it would be reasonable to believe that he would make the uncle particularly happy by doing so. It would have to be that his disobedience made his uncle too angry, which is also possible. In that case, however, it would be better if he stayed here. It's just difficult to say something specific, we are both friends of the uncle and it should be difficult to recognize differences in rank between my friendship and Mr. Pollunder's, but we can't look into the inside of the uncle and especially not over the many kilometers who are separating us from New York here."" ""Please Mr. Green,"" said Karl and approached Mr. Green with self-control, ""I can hear from your words that you also think it would be best if I came back immediately.",0,0.5530678,0
"lexical = 20, order = 40 This is what happened! <sent> I shall tell you without regard for style, just as the Good Lord puts the words into my head. </sent> I went to the department today. I arrived, sat down, and started to write. I should also tell you, little mother, that I had been writing the day before as well. Well, it was like this: Timofey Ivanovich came to me yesterday with an order for a document which was required in a hurry. ‘Please copy it cleanly, swiftly and carefully, Makar Alekseyevich,’ he said. ‘It is to be signed today.’ I should observe, little angel, that I was not quite myself yesterday, and had no interest in anything; such were the sadness and depression that had overtaken me. My heart was cold and my soul was dark; my memory held nothing but you, my poor little treasure. Well, so I got down to the task of copying; I did the work cleanly and well, except that – I don’t know how to explain it to you, whether it was the work of the Unclean One, whether it had been preordained by some secret Fate, or whether it simply had to happen that way – I left out a whole line; Lord knows what sense it must have made, it simply didn’t make any. There was a delay over the delivery of the document, and it wasn’t handed to His Excellency for signature until today. I reported for work this morning at the usual time and stationed myself beside Yemelyan Ivanovich. I should observe to you, my dear, that I have recently begun to feel twice as ashamed and apologetic as I used to. I’ve recently begun to find it impossible to look at anyone. If anyone is chair so much as gives a creak, I feel more dead than alive. That was how it was today: I sat huddled up, not making a sound, like a hedgehog, with the result that Yefim Akimovich (there never was such a bully) said so that everyone could hear: ‘What are you sitting there looking so scared for, Makar Alekseyevich?’ And he made such a face that absolutely everyone near us split their sides with laughter, at my expense, of course. They laughed, and they laughed! I stuck my fingers in my ears and shut my eyes, just sat there, not moving. That is what I usually do; that way they usually desist sooner. Suddenly I heard noise, the sound of running footsteps, fuss and bustle ; I listened – surely my ears must be deceiving me? My name was being called, someone was asking for me, for Devushkin. My heart began to quiver within me, and I still don’t really know why I was so scared; all I know is that I was more scared than I have ever been in my life before. I became rooted to mychair – asthough nothing were wrong, as though I were not even there. But again the voice started up, coming nearer and nearer. At last it was right next to my ear: ‘ Devushkin! Devushkin! Where is Devushkin?’ I raised my eyes: before me stood Yevstafy Ivanovich; he said: ‘Makar Alekseyevich, you’ve to go to His Excellency, at the double! You’ve made a mistake in a document!’ That was all he said, but it was enough, little mother, don’t you think! I went numb, froze, lost all feeling; and began to walk, more dead than alive. I was escorted through one room, through a second, then a third, into a study – I stood before His Excellency! It is impossible for me to give you a positive account of the thoughts that passed through my mind at that moment. I saw His Excellency standing there, and they were all standing around him. I don’t think I bowed; I forgot. Struck dumb, I merely stood there, my lips trembling and my legs shaking. And I had reason to be struck dumb, little mother. For one thing, I was ashamed of myself; I took a glance in a mirror to the right of me, and what I saw in it nearly sent me out of my mind. And for another, I have always tried to do my job as though I myself were not actually there. So that it was hardly likely that His Excellency could know of my existence. Perhaps he might have heard in passing, as it were, that there was a member of staff named Devushkin in the department, but he would never have had any close dealings with him.","Every hour, every minute I could occupy in writing. Indeed I could write to you forever!",0,0.5526604,0
"lexical = 20, order = 80 The little incident has been smoothed over. <sent> What are they doing with me out there? But the anger continues to rage inside me. Back and forth, up and down, cold and warm - no, I won't let myself be rushed! </sent> I said three days, three and a half days to go and not an hour more! So who cares if they’ve put off the trip to Switzerland or not? I’m not having my nerves torn to shreds any longer , I’m not letting my damned pity torment me. This will drive me out of my mind!",Where do they think I can get them?,0,0.55263025,0
"lexical = 40, order = 80 They stood motionless in that cellar, in that darkness, below that beam, virtually hanged, having to make unbelievable efforts to reach their bread or their jug, with the vault overhead, mud halfway up their legs, their own excrement running down the backs of their legs, racked with exhaustion, sagging at the hips and at the knees, clinging to the chains with their hands in order to rest, only able to sleep standing up, and woken at every moment by the strangling collar. Some did not wake. To eat, using their heels they nudged up their shins to within reach of their hands the bread that was thrown to them in the mud. As the chains were too short, they could not lie down.","Alexei Alexandrovich took great pains with them, wrote them a program from which they were not supposed to deviate, and after letting them go, wrote letters to Petersburg for the deputation’s guidance.",0,0.5524794,0
"lexical = 40, order = 20 Yes, however, enough about this matter; I'm writing it all like this, my angel, for the sake of pampering, to amuse you. Farewell, my dove! I scribbled a lot for you here, but this, in fact, is because I am in the most cheerful state of mind today. We all dined together today at Ratazyaev's, so (they are naughty, mother!) they launched such novels ... well, what can you write about it! You just look, don’t come up with anything about me, Varenka. I'm all like that. I’ll send books, I’ll certainly send them ... There’s only one essay going around Paul de Coca’s hands, only there won’t be Paul de Coca for you, mother, ... No, no! Paul de Coq is no good for you. They say about him, mother, that he brings all Petersburg critics to noble indignation. <sent> I am sending you a pound of sweets - I bought it for you on purpose. Eat, darling, and remember me with every candy. Only you don’t gnaw on a lollipop, but just suck on it, otherwise your teeth will ache. And you, maybe, and candied fruit love? </sent> - you will write. Well, goodbye, goodbye. Christ be with you, my dear. And I will stay forever","It will always be my one happiness in life. Pray, therefore, leave me that happiness, and do not seek to cross me in it.",0,0.5522681,0
"lexical = 0, order = 80 In eyes that don’t even look at me I suspect there are smirks (which I consider only natural) directed at the awkward exception I embody in a world of people who know how to act and to enjoy life; and the passing physiognomies, informed by an awareness that I myself have interposed and superimposed, seem to snicker out loud at my life’s timid gesticulations. Reflecting on all this, I try to convince myself that the smirks and mild reproach I feel come from me, and me alone, but once the image of me looking ridiculous has been objectified in others, I can no longer say it’s just mine.","Consequently, I tell you roundly that I MUST borrow, and that I must continue to do so.",0,0.55203414,0
"lexical = 80, order = 60 , with a certain royal assurance which was not wanting in pride, entitled the twenty-second of his reign. It is the year in which M. Bruguière de Sorsum was celebrated. All the hairdressers’ shops, hoping for powder and the return of the royal bird, were besmeared with azure and decked with fleurs-de-lys. It was the candid time at which Count Lynch sat every Sunday as church-warden in the church-warden’s pew of Saint-Germain-des-Prés, in his costume of a peer of France, with his red ribbon and his long nose and the majesty of profile peculiar to a man who has performed a brilliant action. The brilliant action performed by M. Lynch was this: being mayor of Bordeaux, on the 12th of March, 1814, he had surrendered the city a little too promptly to M. the Duke d’Angoulême. Hence his peerage. In 1817 fashion swallowed up little boys of from four to six years of age in vast caps of morocco leather with ear-tabs resembling Esquimaux mitres. The French army was dressed in white, after the mode of the Austrian; the regiments were called legions; instead of numbers they bore the names of departments; Napoleon was at St. Helena; and since England refused him green cloth, he was having his old coats turned. In 1817 Pelligrini sang; Mademoiselle Bigottini danced; Potier reigned; Odry did not yet exist. Madame Saqui had succeeded to Forioso. There were still Prussians in France. M. Delalot was a personage. Legitimacy had just asserted itself by cutting off the hand, then the head, of Pleignier, of Carbonneau, and of Tolleron. The Prince de Talleyrand, grand chamberlain, and the Abbé Louis, appointed minister of finance, laughed as they looked at each other, with the laugh of the two augurs; both of them had celebrated, on the 14th of July, 1790, the mass of federation in the Champ de Mars; Talleyrand had said it as bishop, Louis had served it in the capacity of deacon. In 1817, in the side-alleys of this same Champ de Mars, two great cylinders of wood might have been seen lying in the rain, rotting amid the grass, painted blue, with traces of eagles and bees, from which the gilding was falling. These were the columns which two years before had upheld the Emperor’s platform in the Champ de Mai. They were blackened here and there with the scorches of the bivouac of Austrians encamped near Gros-Caillou. Two or three of these columns had disappeared in these bivouac fires, and had warmed the large hands of the Imperial troops. The Field of May had this remarkable point: that it had been held in the month of June and in the Field of March (Mars). In this year, 1817, two things were popular: the Voltaire-Touquet and the snuff-box à la Charter. The most recent Parisian sensation was the crime of Dautun, who had thrown his brother’s head into the fountain of the Flower-Market. They had begun to feel anxious at the Naval Department, on account of the lack of news from that fatal frigate, The Medusa, which was destined to cover Chaumareix with infamy and Géricault with glory. Colonel Selves was going to Egypt to become Soliman-Pasha. The palace of Thermes, in the Rue de La Harpe, served as a shop for a cooper. On the platform of the octagonal tower of the Hotel de Cluny, the little shed of boards, which had served as an observatory to Messier, the naval astronomer under Louis XVI., was still to be seen. The Duchesse de Duras read to three or four friends her unpublished Ourika, in her boudoir furnished by X. in sky-blue satin. The N’s were scratched off the Louvre. The bridge of Austerlitz had abdicated, and was entitled the bridge of the King’s Garden [du Jardin du Roi], a double enigma, which disguised the bridge of Austerlitz and the Jardin des Plantes at one stroke. Louis XVIII. , much preoccupied while annotating Horace with the corner of his finger-nail, heroes who have become emperors, and makers of wooden shoes who have become dauphins, had two anxieties,—Napoleon and Mathurin Bruneau. The French Academy had given for its prize subject, The Happiness procured through Study. M. Bellart was officially eloquent. In his shadow could be seen germinating that future advocate-general of Broë, dedicated to the sarcasms of Paul-Louis Courier. There was a false Chateaubriand, named Marchangy, in the interim, until there should be a false Marchangy, named d’Arlincourt. Claire d’Albe and Malek-Adel were masterpieces; Madame Cottin was proclaimed the chief writer of the epoch. The Institute had the academician, Napoleon Bonaparte, stricken from its list of members. A royal ordinance erected Angoulême into a naval school; for the Duc d’Angoulême, being lord high admiral, it was evident that the city of Angoulême had all the qualities of a seaport; otherwise the monarchical principle would have received a wound. In the Council of Ministers the question was agitated whether vignettes representing slack-rope performances, which adorned Franconi’s advertising posters, and which attracted throngs of street urchins, should be tolerated. <sent> All the young girls were singing The Hermit of Saint-Avelle, lyrics by Edmond Géraud. The Yellow Dwarf transformed into a Mirror. The Café Lemblin held for the Emperor against the Café Valois which held for the Bourbons. M. le Duc de Berry had just been married to a princess of Sicily, already watched from the depths of the shadow by Louvel. M. Paër, author of Agnese, a square-faced man with a wart on his cheek, conducted the little private concerts of the Marquise de Sassenaye in the rue de la Ville-l’Évêque. </sent> Madame de Staël had died a year previously. The body-guard hissed Mademoiselle Mars. The grand newspapers were all very small. Their form was restricted, but their liberty was great. The Constitutionnel was constitutional. La Minerve called Chateaubriand Chateaubriant. That t made the good middle-class people laugh heartily at the expense of the great writer. In journals which sold themselves, prostituted journalists, insulted the exiles of 1815. David had no longer any talent, Arnault had no longer any wit, Carnot was no longer honest , Soult had won no battles; it is true that Napoleon had no longer any genius. No one is ignorant of the fact that letters sent to an exile by post very rarely reached him, as the police made it their religious duty to intercept them. This is no new fact; Descartes complained of it in his exile. Now David, having, in a Belgian publication, shown some displeasure at not receiving letters which had been written to him, it struck the royalist journals as amusing; and they derided the prescribed man well on this occasion. What separated two men more than an abyss was to say, the regicides, or to say the voters; to say the enemies, or to say the allies; to say Napoleon, or to say Buonaparte. All sensible people were agreed that the era of revolution had been closed forever by King Louis XVIII. , surnamed “The Immortal Author of the Charter.” On the platform of the Pont-Neuf, the word Redivivus was carved on the pedestal that awaited the statue of Henry IV. M. Piet, in the Rue Thérèse, No. 4, was making the rough draft of his privy assembly to consolidate the monarchy. The leaders of the Right said at grave conjunctures, “We must write to Bacot.” MM. Canuel, O’Mahoney, and De Chappedelaine were preparing the sketch, to some extent with Monsieur’s approval, of what was to become later on “The Conspiracy of the Bord de l’Eau”—of the waterside. L’Épingle Noire was already plotting in his own quarter. Delaverderie was conferring with Trogoff. M. Decazes, who was liberal to a degree, reigned. Chateaubriand stood every morning at his window at No. 27 Rue Saint-Dominique, clad in footed trousers, and slippers, with a madras kerchief knotted over his gray hair, with his eyes fixed on a mirror, a complete set of dentist’s instruments spread out before him, cleaning his teeth, which were charming, while he dictated The Monarchy according to the Charter to M. Pilorge, his secretary. Criticism, assuming an authoritative tone, preferred Lafon to Talma. M. de Féletez signed himself A.; M. Hoffmann signed himself Z. Charles Nodier wrote Thérèse Aubert. Divorce was abolished. Lyceums called themselves colleges. The collegians, decorated on the collar with a golden fleur-de-lys, fought each other apropos of the King of Rome. The counter-police of the château had denounced to her Royal Highness Madame, the portrait, everywhere exhibited, of M. the Duc d’Orléans, who made a better appearance in his uniform of a colonel-general of hussars than M. the Duc de Berri, in his uniform of colonel-general of dragoons—a serious inconvenience. The city of Paris was having the dome of the Invalides regilded at its own expense. Serious men asked themselves what M. de Trinquelague would do on such or such an occasion; M. Clausel de Montals differed on divers points from M. Clausel de Coussergues; M. de Salaberry was not satisfied. The comedian Picard, who belonged to the Academy, which the comedian Molière had not been able to do, had The Two Philiberts played at the Odéon, upon whose pediment the removal of the letters still allowed THEATRE OF THE EMPRESS to be plainly read. People took part for or against Cugnet de Montarlot. Fabvier was factious; Bavoux was revolutionary. The Liberal, Pélicier, published an edition of Voltaire, with the following title: Works of Voltaire, of the French Academy. “That will attract purchasers,” said the ingenious editor. The general opinion was that M. Charles Loyson would be the genius of the century; envy was beginning to gnaw at him—a sign of glory; and this verse was composed on him:—","“No,” said one of these gentlemen, “we ask you if you are not tenderly in love with the King of the Bulgarians. ""Not at all,"" he said, ""because I've never seen him. - How? ' Or' What! he is the most charming of kings, and we must drink to his health. -",0,0.55184543,0
"lexical = 40, order = 60 Well, as we came out of the concert, and, on our way back to the hotel, had stopped for a moment on the 'front,' my grandmother and I, for a few words with Mme. de Villeparisis who told us that she had ordered some croque–monsieurs and a dish of creamed eggs for us at the hotel , I saw, a long way away, coming in our direction, the Princesse de Luxembourg, half leaning upon a parasol in such a way as to impart to her tall and wonderful form that slight inclination, to make it trace that arabesque dear to the women who had been beautiful under the Empire, and knew how, with drooping shoulders, arched backs, concave hips and bent limbs, to make their bodies float as gently as a silken scarf about the rigidity of the invisible stem which might be supposed to have been passed diagonally through them. She went out every morning for a turn on the beach almost at the time when everyone else, after bathing, was climbing home to luncheon, and as hers was not until half past one she did not return to her villa until long after the hungry bathers had left the scorching 'front' a desert. Mme. de Villeparisis presented my grandmother and would have presented me, but had first to ask me my name, which she could not remember. She had, perhaps, never known it, or if she had must have forgotten years ago to whom my grandmother had married her daughter. My name, when she did hear it, appeared to impress Mme. de Villeparisis considerably. Meanwhile the Princesse de Luxembourg had given us her hand and, now and again, while she conversed with the Marquise, turned to bestow a kindly glance on my grandmother and myself, with that embryonic kiss which we put into our smiles when they are addressed to a baby out with its 'Nana.' Indeed, in her anxiety not to appear to be a denizen of a higher sphere than ours, she had probably miscalculated the distance there was indeed between us, for by an error in adjustment she made her eyes beam with such benevolence that I could see the moment approaching when she would put out her hand and stroke us, as if we were two nice beasts and had poked our heads out at her through the bars of our cage in the Gardens. And, immediately, as it happened, this idea of caged animals and the Bois de Boulogne received striking confirmation. It was the time of day at which the beach is crowded by itinerant and clamorous vendors, hawking cakes and sweets and biscuits. Not knowing quite what to do to shew her affection for us, the Princess hailed the next that came by; he had nothing left but one rye–cake, of the kind one throws to the ducks. The Princess took it and said to me: ""For your grandmother."" And yet it was to me that she held it out, saying with a friendly smile, ""You shall give it to her yourself!"" thinking that my pleasure would thus be more complete if there were no intermediary between myself and the animals. Other vendors came up; she stuffed my pockets with everything that they had, tied up in packets, comfits, sponge–cakes, sugar–sticks. ""You will eat some yourself,"" she told me, ""and give some to your grandmother,"" and she had the vendors paid by the little Negro page, dressed in red satin, who followed her everywhere and was a nine days' wonder upon the beach. Then she said good–bye to Mme. de Villeparisis and held out her hand to us with the intention of treating us in the same way as she treated her friend, as people whom she knew, and of bringing herself within our reach. But this time she must have reckoned our level as not quite so low in the scale of creation, for her and our equality was indicated by the Princess to my grandmother by that tender and maternal smile which a woman gives a little boy when she says good–bye to him as though to a grown–up person. By a miraculous stride in evolution, my grandmother was no longer a duck or an antelope, but had already become what the anglophil Mme. Swann would have called a 'baby.' <sent> My second one, as will be seen, was to astonish me just as much by her graciousness. She was my very first Highness, not counting Princesse Mathilde, who in any case had nothing high and mighty about her. Having taken her leave of us, the Princess of Luxembourg, with the slow undulations of her magnificent figure, took up again her interrupted stroll along the sun-drenched esplanade, her whole person winding itself round the rolled-up blue and white sunshade she held in her hand, as a snake coils about a wand. I was to become acquainted with one mode of the civility of the great the very next day, when Mme de Villeparisis gave us this report: ‘She thought you were both just charming. </sent> She is a woman of the soundest judgment, the warmest heart. Not like so many Queens and people! She has real merit."" And Mme. de Villeparisis went on in a tone of conviction, and quite thrilled to be able to say it to us: "" I am sure she would be delighted to see you again.""","A more beautiful place did not exist. The lawn in front of the house lay in a gentle slope and was covered with fine, light-green grass. There never was such a lawn. The sheep were allowed to graze there and the children to romp there in their games, but it was always just as even and green. The scythe never passed over it, but at least once a week the mistress of the house had all sticks and straws and dry leaves swept from the fresh grass. He looked at the gravel walk in front of the house and suddenly drew his feet back. The children had late in the evening raked it and his big feet had done terrible harm to the fine work. Think how everything grew there.",0,0.55139256,0
