sentence1,sentence2,label,p,pred
"lexical = 40, order = 80 Nobody met me. I went into the hallway and opened the front door. An old invalid, sitting on a table, was sewing a blue patch on the elbow of his green uniform. I told him to report me. “Come in, father,” answered the invalid: “our houses.” I entered a clean room, decorated in the old fashioned way. In the corner stood a cupboard with dishes; on the wall hung an officer's diploma behind glass and in a frame; next to it were popular prints representing the capture of Kistrin and Ochakov, as well as the choice of a bride and the burial of a cat. At the window sat an old woman in a padded jacket and with a scarf on her head. She was unwinding the threads, which she held, uncrossed on her hands, a crooked old man in an officer's uniform. ""What do you want, father?"" she asked, continuing her work. I answered that I had come to the service and appeared on my duty to the captain, and with this word I turned to the crooked old man, mistaking him for the commandant; but the hostess interrupted my hardened speech. "" Ivan Kuzmich is not at home,"" she said; - “he went to visit Father Gerasim; it doesn't matter, father, I'm his mistress. Please love and respect. Sit down, father."" She called the girl and told her to call the constable. The old man looked at me with his lonely eye with curiosity. ""I dare to ask,"" he said; - ""In which regiment did you deign to serve?"" I satisfied his curiosity. “But I dare to ask,” he continued, “why did you deign to transfer from the guard to the garrison?” - I answered that such was the will of the authorities. “Really, for the indecent actions of an officer of the guard,” continued the indefatigable questioner. <sent> “That’s enough of your chatter,” said the captain’s wife. “You can see the young man’s tired from his journey; let him be. And keep your hands straight! </sent> And you, my father, ”she continued, turning to me,“ do not be sad that you have been put into our backwoods. You are not the first, you are not the last. Endure, fall in love. Shvabrin Aleksei Ivanovich has been transferred to us for the fifth year for murder. God knows what sin beguiled him; he, if you please, went out of town with one lieutenant, and they took swords with them, and, well, they stab each other; and Alexey Ivanovich stabbed the lieutenant to death, and even with two witnesses! What are you supposed to do? There is no master for sin.""","- “It’s full of lying trifles,” the captain said to him: “you see, the young man is tired from the road; he is not up to you ... (keep your arms straighter ...)",1,0.00010554686,0
"lexical = 40, order = 60 He also kept dreaming up ridiculous quaint names and titles for his acquaintances. Thus, he called Reinert, the deputy, “Bilge,” saying that Bilge was a title. “Mr. Reinert, esteemed Town Bilge,” he said. In the end he began to rave about how high the ceiling might be in Consul Andresen’s apartment. “Seven feet, seven feet!” <sent> Three and a half cubits, taken at random; am I not right? But seriously, he was really lying with a fishing rod in his throat , he did not find it, and he was bleeding from it, it hurt a lot…. he shouted again and again. </sent>","he cried again and again. “Seven feet, by a rough estimate. Am I not right?” But seriously, he was really lying there with a fish hook in his throat, he wasn’t making it up, and he was bleeding, it hurt quite a bit....",1,0.00014883847,0
"lexical = 60, order = 40 If he had fifty thousand francs, he would perhaps have sailed away to the Marquesas Islands, like that ""Cadet"" whom Mr. Herzen mentions with such cheerful humor in one of his writings. By the number of books found with him, it could be concluded that he was a well-read person. There was no doubt that he had gone mad, at least it turned out that lately he had been noticed in the most impossible oddities. In the district (in the very one in which Pyotr Stepanovich recently feasted) one second lieutenant was verbally reprimanded by his closest commander. He could not bear the reprimand and suddenly rushed at the commander with some kind of unexpected squeal that surprised the whole company, somehow wildly bowing his head; hit and bit him with all his might on the shoulder; could be dragged away. For example, he threw out two images of his master from his apartment and chopped one of them with an ax; in his own room he laid out on stands, in the form of three layers, the works of Vocht, Moleschott and Buchner, and before each layer he lit wax church candles. It happened in front of the whole company. The lieutenant was still a young man, recently from Petersburg, always silent and sullen, important in appearance, although at the same time small, fat and red-cheeked. When they took him, they found a whole bundle of the most desperate leaflets in his pockets and in the apartment.","In one district (the same one in which Pyotr Stepanovich had recently been feasting) a certain sub-lieutenant had been subjected to a verbal reprimand by his immediate commander. This had happened in front of the whole company. The sub-lieutenant was still a young man, recently come from Petersburg, always sullen and taciturn, with an air of importance, but at the same time short, fat, red-cheeked. He could not endure the reprimand and suddenly charged at his commander with some sort of unexpected shriek that astonished the whole company, his head somehow savagely lowered; struck him and bit him on the shoulder as hard as he could; they were barely able to pull him away. There was no doubt that he had lost his mind; in any case it was discovered that he had been noted lately for the most impossible oddities. For example, he had thrown two icons belonging to his landlord out of his apartment, and chopped one of them up with an axe; and in his room he had placed the works of Vogt, Moleschott, and Buchner2 on stands like three lecterns, and before each lectern kept wax church candles burning. From the number of books found in his place it could be concluded that he was a well-read man. If he had had fifty thousand francs, he might have sailed off to the Marquesas Islands like that ""cadet"" mentioned with such merry humor by Mr. Herzen in one of his works.3 When he was taken, a whole bundle of the most desperate tracts was found in his pockets and in his lodgings.",1,0.00019716944,0
"lexical = 40, order = 100 But this, however, is inconsistent! it doesn't agree with anything! it is impossible that the officials could scare themselves like that; create such nonsense, so far from the truth, when even a child can see what the matter is! So many readers will say and kill the author in inconsistencies or call the poor officials fools, because a person is generous with the word ""fool"" and is ready to serve them twenty times a day to his neighbor. It is enough to have one stupid party out of ten to be recognized as a fool by nine good ones. It is easy for readers to judge, looking from their quiet corner and top, from where the entire horizon is open to everything that is happening below, where only a close object is visible to a person. And in the world annals of mankind there are many whole centuries, which, it would seem, were crossed out and destroyed as unnecessary. Many errors have taken place in the world, which it would seem that even a child would not do now. What crooked, deaf, narrow, impassable, drifting roads mankind has chosen, striving to reach the eternal truth, while the whole straight path was open before it, similar to the path leading to the magnificent temple appointed by the king to the palaces! <sent> Than all other ways is it broader and more splendid, lit up by the sun and illumined all night by lights, yet it is past it, in a profound darkness, that men have streamed. And how oft, already guided by reason that had come down from heaven, have they not contrived, even then, to backslide and to stray off, how oft have they not contrived, even in broad daylight, to come upon impassable wildernesses, how oft have they not contrived to becloud one another’s eyes anew with impenetrable fog and, pursuing will-o’-the-wisps , have contrived in the very end to make their way to the very brink of an abyss, only to ask one another in horror: Where is the way out? Where is the path? The present generation sees everything clearly now; it wonders at the delusions and laughs at the lack of comprehension of its ancestors, not perceiving that this chronicle is written over with heavenly fire, that every letter therein is calling out to it, that from every direction a piercing forefinger is pointed at it, at it and none other than it, the present generation. But the present generation laughs and, self-reliantry, proudly, launches a new succession of delusions, over which its descendants will laugh in their turn, even as the present generation is laughing now. </sent>","It is wider and more luxurious than all other paths, illuminated by the sun and illuminated by lights all night, but people flowed past it in the dead darkness. And how many times already induced by the meaning descending from heaven, they knew how to stagger back and stray to the side, they knew how in broad daylight to fall back into impenetrable backwoods, they knew how to throw a blind fog into each other’s eyes again and, dragging after the marsh lights, they knew how to get to the abyss, then to ask each other with horror: where is the exit, where is the road? Now the current generation sees everything clearly, marvels at the delusions, laughs at the foolishness of its ancestors, it is not in vain that this chronicle is scribbled with heavenly fire, that every letter screams in it, that a piercing finger is directed from everywhere at him, at him, at the current generation; but the current generation laughs and arrogantly, proudly begins a series of new delusions, which will also be laughed at by descendants later.",1,0.00022341634,0
"lexical = 40, order = 100 MY DEAREST MAKAR ALEXIEVITCH,—I am in terrible distress.",Listen to what we had.,1,0.00033015275,0
"lexical = 40, order = 20 I hasten to tell you, my little life, I have fresh hopes of something. But excuse me, my little daughter, you write, my angel, that I am not to borrow money. <sent> My darling, it is impossible to avoid it; here I am in a bad way, and what if anything were suddenly amiss with you! </sent> You are frail, you know; so that’s why I say we must borrow. Well, so I will continue.","Why, I could not do without them. Things would go badly with us both if I did so.",1,0.00046552691,0
"lexical = 40, order = 60 The morning of the awful scene, pockmarked Semyon, the man to whom Trishatov and his long-legged friend had gone after deserting Lambert, had warned Bjoring about Lambert's plans. He had done so for practical considerations. Lambert had at first convinced him to come in on the deal with him and, after he had got hold of the document, he'd told him about every circumstance and every detail of the operation, including the final stratagem introduced by Versilov to get Mrs. Prutkov out of the way. At the last moment, however, Semyon, being the most practical man of the lot, had decided to pull out of it. He was afraid that it might lead to unpredictably grave consequences, what with the hotheaded and inexperienced Lambert and Versilov maddened by passion. Indeed, he felt it would be much wiser for him to rely on Bjoring's gratitude. All that I learned later from Trishatov, although I still don't quite understand why Lambert had to drag Semyon into the deal in the first place, nor can I make any sense out of the relations between the two of them. The question that preoccupied me much more was why Lambert had gone to Versilov. <sent> The answer is clear to me now. </sent> First of all, Versilov knew all there was to know about the persons involved and, secondly, in case of trouble, if anything went wrong, Lambert hoped to be able to shift the blame to him. As it turned out, Bjoring didn't get there in time. He arrived a whole; hour after the shot had been fired, and by then Mrs. Prutkov's place; looked quite different. About five minutes after the bleeding Versilov had fallen to the carpet, Lambert, who had been lying in a puddle of his own blood and whom we'd all assumed dead, suddenly stirred, sat up, and scrambled to his feet. He stared around blankly for a while; then, apparently gathering what had happened, he walked out into the kitchen, put on his coat, and vanished. He did not look at the document that was lying there on the table. I vaguely heard that he hadn't been too badly hurt by the blow on the head: he got away with only a slight concussion and some loss of blood. Trishatov had rushed for a doctor, but Versilov came to before the doctor arrived. And even before that, Mrs. Prutkov had succeeded in bringing Katerina back to consciousness and had driven her home. Thus, by the time Bjoring arrived, he found only the wounded Versilov, the doctor, me, and my mother (Trishatov had told her and she'd rushed over although she was still ill). Bjoring looked around in bewilderment and, when told that Mrs. Akhmakov had been taken home, left without saying a word.",But now that is quite clear to me.,1,0.00047285447,0
"lexical = 40, order = 80 , there’s a good chap . . .’ Nana immediately turned her attention to la Faloise, who’d been clamouring for the honour of being ruined by her for a long while; this would consecrate him as the smartest man about town; it was a blemish in his career, he needed a woman to launch him. Paris would learn all about him, in a couple of months he’d be reading his name in the papers. However, Nana took only six weeks. La Faloise’s inheritance consisted of property, land, pastures, woods, farms. <sent> Even fishing rights, a stone quarry and three mills disappeared. He had to sell all, one after the other, as quickly as he could. Nana passed over them like an invading army or one of those swarms of locusts whose flight scours a whole province. The foliage trembling in the sunshine, the wide fields of ripe grain, the vineyards so golden in September, the tall grass in which the cows stood knee-deep, all passed through her hands as if engulfed by an abyss. At every mouthful Nana swallowed an acre. There was no harm in it all; they were only sweets! The ground was burned up where her little foot had rested. Farm by farm, field by field, she ate up the man's patrimony very prettily and quite inattentively, just as she would have eaten a box of sweet-meats flung into her lap between mealtimes. </sent> But one night the only thing left was a tiny area of woodland. She swallowed it scornfully; it was hardly worth opening your mouth for. La Faloise would give an idiotic laugh, sucking the silver knob of his stick. He had crushing debts, his income was less than a hundred francs, he was faced with the prospect of going back to the provinces and living with a crotchety old uncle; but it didn’t matter, he was ‘smart’, his name had twice appeared in the Figaro, and with his scrawny neck sticking out between the points of his turn-down collar, his slouching shoulders covered by a jacket that was too short, he shuffled round screeching like a parrot, putting on a wooden, world-weary air, like a puppet incapable of any real emotion. Nana found him so irritating that in the end she thumped him.","He had to dispose of the lot, one after another. Each acre provided just one mouthful. The leaves quivering in the sunlight, the tall, ripe wheat, the golden September vines, the long meadow-grass in which cows stood munching up to their bellies, everything went, as if swallowed up in an abyss. There was even a river, a cement quarry, and three mills; they all vanished. Nana shot through like a cloud of invading locusts, a devastating fire flattening a whole province. Wherever she set her little foot, there was burnt earth. Farm by farm, meadow after meadow, she gobbled up his inheritance without even noticing, just as she gobbled up a bag of sugared almonds on her lap between meals. It was quite unimportant, just so many lumps of sugar-candy.",1,0.00059766934,0
"lexical = 80, order = 40 Well, goodbye.","Today I am again unwell, for yesterday I wetted my feet, and took a chill.",1,0.0006462033,0
"lexical = 20, order = 80 I just wanted to know if he knew it was because of him that I was dying. This stuttering that entered my room made my thoughts run away.","This time she was feeling better, she looked plump and mature—she wore an arkhalogh1 with dark grey samboosehs, she had plucked her eyebrows, painted on a mole, she had colored her eyebrows, she had applied rouge, white powder, and eyeliner. In short, she had entered my room completely dressed up.",1,0.0006771942,0
