sentence1,sentence2,label,prob,margin
"lexical = 40, order = 40 “To save you!” I went on, jumping up from my chair and running back and forth in front of her, “to save you from what! But maybe I'm worse than you are. Why didn't you fling it in my mug when I started reading you my oration: And you, what did you come here for? To teach us morals, or what?' Power, power, that's what I wanted then, the game was what I wanted, I wanted to achieve your tears, your humiliation, your hysterics – that's what I wanted then! But I couldn't stand it myself, because I'm trash, I got all scared and, like a fool, gave you my address, devil knows why. And afterwards, even before I got home, I was already cursing you up and down for that address. I already hated you, because I'd lied to you then. Because I only talk a good game, I only dream in my head, but do you know what I want in reality? That you all go to hell , that's what! I want peace. I'd sell the whole world for a kopeck this minute, just not to be bothered. Shall the world go to hell, or shall I not have my tea? I say let the world go to hell, but I should always have my tea. Did you know that or not? Well, and I do know that I'm a blackguard, a scoundrel, a self-lover, a lazybones. I spent these past three days trembling for fear you might come. And do you know what particularly bothered me all these three days? That I had presented myself to you as such a hero then, and now you'd suddenly see me in this torn old dressing gown, abject, vile. I just told you I was not ashamed of my poverty, know, then, that I am ashamed, I'm ashamed of it most of all, afraid of it more than anything, more than of being a thief, because I'm so vain it's as if I'd been flayed and the very air hurts me. But can you possibly not have realized even now that I will never forgive you for having found me in this wretched dressing gown, as I was hurling myself like a vicious little cur at Apollon? The resurrector, the former hero, flinging himself like a mangy, shaggy mutt at his lackey, who just laughs at him! And those tears a moment ago, which, like an ashamed woman, I couldn't hold back before you, I will never forgive you! <sent> Why do you still stand confronting me, after all this? Why are you worrying me? What more do you want? Yes—you must answer for it all because you turned up like this, because I am a blackguard, because I am the nastiest, stupidest, absurdest and most envious of all the worms on earth, who are not a bit better than I am, but, the devil knows why, are never put to confusion; while I shall always be insulted by every louse, that is my doom! Why, it’s not once in a lifetime a man speaks out like this, and then it is in hysterics! ... Do you understand? How I shall hate you now after saying this, for having been here and listening. And what is it to me that you don’t understand a word of this! And what do I care, what do I care about you, and whether you go to ruin there or not? And for what I am confessing to you now, I shall never forgive you either! </sent>","Because it must be everything, that’s the first thing! Why is it we can never know everything about another person when we’re up against it, and it’s his fault! … There, I don’t know what I’m talking about, I’ve lost the thread. You surprise me no end… And does she still look now like she did when she ran out? Oh yes, it is my fault all right! The likelihood is that I’m to blame for everything! I’m still not quite clear as to what exactly of, but I am to blame… There’s something here I can’t explain to you, Yevgeny Pavlovich , I haven’t got the words, but Aglaya Ivanovna would understand!",0,0.50010616,0.00010615587
"lexical = 40, order = 20 When he had bitterly reminded Dunia that he had decided to take her in spite of various evil reports, Peter Petrovich had spoken with perfect sincerity and had, indeed, felt genuinely indignant at such “black ingratitude.” And yet, when he made Dunia his offer, he was fully aware of the groundlessness of all the gossip. The story had been contradicted in every quarter by Marfa Petrovna and was by then distrusted among all the townspeople, who were warm in Dunia’s defense. And he would not have denied that he knew all that at the time. <sent> And of course, now, descending the stairs, he considered himself in the highest degree offended and unrecognized. Appearing then on a visit to Raskolnikov, he entered with the feeling of a benefactor, preparing to reap the fruits and listen to very sweet compliments. Speaking about this now to Dunya, he uttered his secret thought, cherished by him, which he had admired more than once, and could not understand how others could not admire his feat. Nevertheless, he nevertheless highly appreciated his determination to elevate Dunya to himself and considered this a feat. </sent>","Finally, some (especially from psychologists) even admitted the possibility that he really did not look into the wallet, and therefore did not know what was in it, and, not knowing , he took it under a stone, but immediately from this and they concluded that the crime itself could not have happened otherwise than with some temporary insanity, so to speak, with a painful monomania of murder and robbery, without further goals and calculations for profit. Here, by the way, the newest fashionable theory of temporary insanity arrived, which so often they try to apply in our time to other criminals.",0,0.49941528,0.00058472157
"lexical = 60, order = 40 great growth in the trade of felt hats and clocks. And for once I was with the others against her, not being able to admit that there was a link between his school friend and the descendant of Geneviève de Brabant. the church has superb stained-glass windows, almost all of them modern, and this imposing Entry of Louis-Philippe at Combray which would be better placed in Combray itself, and which, it is said, is worth the famous glass roof of Chartres. (My grandmother, who by dint of being disinterested in people, ended up by confusing all the names, each time the name of the Duchesse de Guermantes was mentioned, she claimed that she must be a relative of Madame de Villeparisis. I would gladly believe that the primitive name was Rouville (Radulfi villa) like Châteauroux (Castrum Radulfi), but I will tell you about that another time.) Everyone was bursting with laughing; she tried to defend herself by alleging a certain letter to share: ""I seemed to remember that there was some Guermantes in there."" Well! (I am not sure of the etymology of Roussainville.","His speech is rapid and ornate; he is one of those people who, for every occasion in life, have ready-made pompous phrases, whom unadorned beauty does not move, and who solemnly drape themselves in extraordinary emotions, exalted passions, and exceptional sufferings. To produce an effect is rapture to them; romantic provincial ladies go crazy over them. With age they become either peaceful landowners, or drunkards; sometimes, both. Their souls often possess many good qualities, but not an ounce of poetry. Grushnitski’s passion was80 to declaim; he bombarded you with words as soon as the talk transcended the circle of everyday notions: I have never been able to argue with him.",0,0.49920112,0.00079888105
"lexical = 60, order = 40 You like it at first, but later it will become repulsive, and precisely because of this all too clear enunciation, this string of ever ready words. His enunciation is remarkably clear; his words spill out like big, uniform grains, always choice and always ready to be at your service.","Mr. Povondra doesn't even know that his mother usually floods his vowels with the clippings he once collected and sorted. True, Mr. Povondra stopped the collection when he retired, but he bought an aquarium where he grew tiny newts and salamanders next to golden carp, watched for hours as they lay motionless in the water or climbed to the shore, which he made from stones, then shook his head saying, ""Who would say that to them, Mommy!"" But you can't just watch, so Mr. Povondra went fishing. What to do, men always have to have something, thinks mother Povondrová.",0,0.501136,0.0011360049
"lexical = 40, order = 40 This morning I talked with Yemelyan Ivanovich and Aksenty Mikhailovich about his Excellency. Yes, Varenka, they were not the only ones who treated me so mercifully. They did not benefit me alone and are known throughout the world for the kindness of their hearts. From many places in honor of him praises are exalted and tears of gratitude flow. They brought up an orphan alone. They deigned to attach her: they gave her away as a well-known person, for an official who, on special assignments, was with their excellency. The son of a widow was placed in some kind of office and many other good deeds were rendered. I, mother, considered it an obligation to immediately put my mite in, and told everyone about His Excellency's act for all to hear; I told them everything and kept nothing back. I put my shame in my pocket. What a shame, what an ambition such under such a circumstance! So out loud - may the deeds of His Excellency be glorious! I spoke enthrallingly, spoke with ardor and did not blush, on the contrary, I was proud that I had to tell such a story. I told about everything (I only prudently kept silent about you, mother), and about my mistress, and about Faldoni, and about Ratazyaev, and about boots, and about Markov - I told everything. Some of them laughed, yes, indeed, and they all laughed. Only this is in my figure, it’s true, they found something funny either about my boots - specifically about boots. <sent> And with some bad intention, they could not do this. Is it so, youth, or because they are rich people, but with a bad, evil intention, they could not make fun of my speech. I mean, something about His Excellency —they couldn't possibly do that. Isn't that right, Varenka? </sent>","And since I'm not much of a torturer, as you can probably gather, I usually preferred to keep quiet. So the reason for my forbearance was not just that it was easier to say nothing, and, I must say, I'm not sorry I didn't interfere. Broadmindedness and tolerance was the easiest way under the circumstances, so I don't claim any credit. I'll say parenthetically, though, that she never trusted my tolerance and lived in fear and trembling. But, in fear and trembling as she was, she still firmly rejected whatever civilizing influence she happened to be exposed to. Humble people know how to reject things and, in general, they're better than we are at getting whatever they're after.",0,0.49867618,0.0013238192
"lexical = 40, order = 100 - Yes, just as a curious subject for observation. I liked you because of the fantastic nature of your situation - that's what! In addition, you are the brother of a person who interested me very much, and, finally, from this person herself in my time I heard an awful lot and often about you, from which I concluded that you have great influence over her; isn't that enough? He-he-he! However, I confess that your question is very difficult for me, and it is difficult for me to answer it for you. Well, for example, you came to me now, not only on business, but for something new? It is so? <sent> Isn’t that so?” persisted Svidrigailov with a sly smile. “Well, can’t you imagine then that on my way here in the train I too was counting on you, on the fact that you would tell me something new, and on the fact that I would make some profit out of you! </sent> That's how rich we are!",But they fixed that.,0,0.50138897,0.001388967
"lexical = 40, order = 80 ‘Yet this is the place where all lost women are to be found,’ Grantaire grumbled privately. Marius left his friends at the dance and walked home alone, weary, feverish, his eyes blurred and sad in the dark; stunned by the noise and dust of the cheerful charabancs overtaking him, full of people singing on their way back from the festivities; feeling downhearted and, to clear his head, breathing in the pungent smell of the walnut-trees along the road. He did not, of course, see the girl he was looking for.","My ribs were iron bars. The space for the heart was too small. … When she speaks, her face is like a swiftly revolving, glittering wheel; you cannot see the separate bars. But at that moment the wheel was motionless.",0,0.49860954,0.0013904572
"lexical = 40, order = 40 Next day the old man came to see his son, and sat with him, as usual, for about an hour; after which he visited ourselves, wearing on his face the most comical, the most mysterious expression conceivable. Smiling broadly with satisfaction at the thought that he was the possessor of a secret, he informed me that he had stealthily brought the books to our rooms, and hidden them in a corner of the kitchen, under Matrena’s care. <sent> Next, by a natural transition, the conversation passed to the coming fête-day; whereupon, the old man proceeded to hold forth extensively on the subject of gifts. The further he delved into his thesis, and the more he expounded it, the clearer could I see that on his mind there was something which he could not, dared not, divulge. </sent> So I waited and kept silent. The mysterious exaltation, the repressed satisfaction which I had hitherto discerned in his antics and grimaces and left-eyed winks gradually disappeared, and he began to grow momentarily more anxious and uneasy. At length he could contain himself no longer.","Finally, I would have brought him to the denouement, where he would have played exactly the role of the peasant with the innkeeper; he would have had, like the peasant, a daughter whom he was going to place with a fashion merchant, a son whom he was going to withdraw from school in order to enter a profession; he himself would have determined to beg until he grew bored of living. One would have seen the benevolent Bourru at the feet of this man; we would have heard the benevolent Bourru scolded as he deserved; he would have been forced to address all the family around him, to bend his debtor and compel him to accept new help. The benevolent Bourru would have been punished; he would have promised to correct himself; but at the very moment he would have returned to his character, becoming impatient with the characters on the stage, who would have made courtesies to return to the house; he would have said abruptly: The devil take the cerem… But he would have stopped short in the middle of the word, and, in a softened tone, he would have said to his nieces: “Come on, my nieces; give me your hand and let's go. "" And for this character to have been linked to the background, you would have made him a protege of Geronte's nephew?"" - Very good ! """,0,0.49826473,0.00173527
"lexical = 20, order = 40 But it was just a hasty time, and I never invited Yin and Yang to worship the hall and spread the tent. The woman said, ""Son-in-law, your senior brother said that today is an auspicious day for God's grace, so he taught you to recruit him.","Having received his order and having buckled and knotted his armor properly, the Mighty-Spirit God grasped his spreading-flower ax and came to the Water-Curtain Cave. There in front of the cave he saw a great mob of monsters, all of them wolves, insects, tigers, leopards, and the like; they were all jumping and growling, brandishing their swords and waving their spears. “Damnable beasts!” shouted the Mighty-Spirit God. “Hurry and tell the BanHorsePlague that I, a great general from Heaven, have by the authorization of the Jade Emperor come to subdue him.",0,0.5017727,0.0017727017
"lexical = 20, order = 60 The woman was even more delighted when she saw the three of them, and invited them into the hall with a courtesy invitation. Behind the screen, suddenly there was a girl with a bun hanging silk, holding a golden plate, a white jade cup, fragrant tea, and the fragrance of different fruits. The man had colorful sleeves and slender bamboo shoots; he held a jade cup and served tea. I bowed to them one by one. After the tea was over, he ordered the fasting. Sanzang raised his hand and said: ""Old Bodhisattva, Gao surname? What is the name of your land? "" The woman said, ""This place is the land of Xiniu Hezhou. The little woman's maiden name is Jia, her husband's surname is Mo. Unfortunate in her childhood, her father-in-law and aunt died early. Keeping the ancestral business with her husband, they have a wealth of wealth and a thousand hectares of fertile land. The husband and wife have no children, and only three girls were born. I have left the fields and family business, and there is no family or relatives, but my mother and daughter took it. I want to marry others, but it is difficult to give up the family business. <sent> Now that you have come here, venerable sir, with your three disciples, I think it should be you. “We have over four thousand acres each of irrigated land, dry land, and orchards on hillsides,” she continued, “as well as over a thousand head of oxen and water buffalo, herds of mules and horses, and more pigs and sheep than you could count. There are sixty or seventy farm buildings and barns. I and my three daughters want to marry while staying at home, and you four gentlemen would suit us nicely. If you and your disciples are prepared to change your minds and live in this house as our husbands, you can enjoy wealth and ease. You'll be even better off than those ancients who 'stored spring behind brocade curtains' and kept girls whose 'hair was heavy with golden pins'. We have more grain in the house than we could eat in eight or nine years, and more than enough silk to clothe us for a decade—to say nothing of more gold and silver than you could spend in a lifetime. I wonder if you would be prepared to consent.” Sanzang sat there pretending to be deaf and dumb, with his eyes shut and his mind kept calm. He made no reply. </sent> "" The Sanzang was also just dumbfounded and silent.","As long as the month of May of this year 1832 lasted, there were there, every night, in this poor wild garden, under this brushwood more fragrant and thicker every day, two beings composed of all the chastities and all the innocences. , overflowing with all the bliss of heaven, closer to the archangels than to men, pure, honest, intoxicated, radiant, who shone for each other in the darkness. It seemed to Cosette that Marius had a crown and to Marius that Cosette had a nimbus. They touched each other, they looked at each other, they took each other's hands, they hugged each other; but there was a distance they did not bridge. Not that they respected it; they ignored it.",0,0.50213677,0.002136767
